Name,AnnualRevenue,SquareFeet,NumberEmployees
A Bicycle Association,80000.00,19000,18
A Bike Store,30000.00,7000,2
A Cycle Shop,80000.00,22000,17
A Great Bicycle Company,100000.00,28000,28
A Typical Bike Shop,30000.00,8000,8
Acceptable Sales & Service,80000.00,21000,12
Accessories Network,80000.00,22000,16
Acclaimed Bicycle Company,300000.00,73000,61
Ace Bicycle Supply,300000.00,73000,81
Action Bicycle Specialists,150000.00,40000,49
Active Cycling,300000.00,73000,73
Active Life Toys,80000.00,20000,18
Active Systems,150000.00,39000,44
Active Transport Inc.,30000.00,8000,9
Activity Center,150000.00,37000,37
Advanced Bike Components,150000.00,38000,40
Aerobic Exercise Company,150000.00,40000,43
Affordable Sports Equipment,30000.00,8000,4
All Cycle Shop,100000.00,25000,27
All Seasons Sports Supply,30000.00,10000,9
Alpine Ski House,150000.00,37000,32
Alternative Vehicles,150000.00,41000,45
Amalgamated Parts Shop,300000.00,77000,99
Another Bicycle Company,30000.00,6000,2
Another Sporting Goods Company,150000.00,37000,31
Area Bike Accessories,30000.00,9000,8
Area Sheet Metal Supply,150000.00,36000,37
Associated Bikes,30000.00,7000,8
Atypical Bike Company,100000.00,25000,20
Authentic Sales and Service,80000.00,20000,19
Authorized Bike Sales and Rental,300000.00,75000,95
Basic Bike Company,80000.00,20000,14
Basic Sports Equipment,150000.00,38000,44
Beneficial Exercises and Activities,30000.00,9000,8
Best Cycle Store,300000.00,78000,93
Best o' Bikes,80000.00,19000,10
Better Bike Shop,80000.00,19000,19
Bicycle Accessories and Kits,30000.00,7000,9
Bicycle Exporters,150000.00,39000,34
Bicycle Lines Distributors,300000.00,77000,83
Bicycle Merchandise Warehouse,300000.00,69000,58
Bicycle Outfitters,300000.00,72000,67
Bicycle Warehouse Inc.,100000.00,26000,22
Big Cycle Mall,300000.00,77000,89
Big-Time Bike Store,300000.00,80000,96
Bike Boutique,150000.00,41000,49
Bike Dealers Association,150000.00,40000,40
Bike Experts,300000.00,73000,82
"Bike Goods ",300000.00,73000,58
Bike Part Wholesalers,80000.00,21000,15
Bike Products and Accessories,80000.00,19000,14
Bike Rims Company,300000.00,80000,97
Bike Universe,100000.00,28000,28
Bike World,150000.00,35000,31
Bikes and Motorbikes,150000.00,40000,49
Bikes Anyone?,100000.00,27000,22
Bikes for Kids and Adults,150000.00,36000,30
Bikes for Two,80000.00,22000,18
Black Bicycle Company,150000.00,40000,45
Blue Bicycle Company,150000.00,36000,40
Blue-Ribbon Bike Company,30000.00,9000,6
Bold Bike Accessories,300000.00,72000,58
Brakes and Gears,80000.00,18000,12
Brand New Bikes,300000.00,73000,64
Brightwork Company,150000.00,36000,38
Brown Bicycle Company,80000.00,19000,13
Budget Bike Company,80000.00,22000,18
Budget Toy Store,300000.00,71000,52
Bulk Discount Store,80000.00,21000,17
